0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,21,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,22,0,0,0
0,0,0,0,0,0,0,0,10,31,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,32,27,0,0
0,0,0,0,0,0,0,10,31,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,37,44,0
0,0,0,0,0,0,10,31,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,63,0
0,0,0,0,0,10,31,60,60,60,60,42,47,64,64,64,64,64,64,64,64,64,64,64,66,60,60,60,63,0
0,0,0,0,10,31,60,60,60,60,42,52,0,0,0,0,0,0,0,0,0,0,0,0,61,60,60,60,63,0
0,0,0,10,31,60,60,60,60,42,52,0,0,0,0,0,0,0,0,0,0,0,0,0,61,60,60,60,63,0
0,0,10,31,60,60,60,60,42,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,60,60,60,63,0
0,10,31,60,60,60,60,42,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,60,60,60,63,0
54,31,60,60,60,60,42,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,60,60,60,63,0
61,60,60,60,60,42,52,0,0,0,0,21,22,0,0,0,0,0,0,0,0,0,0,0,25,60,60,60,63,0
61,60,60,60,42,52,0,0,0,0,10,31,32,9,0,0,0,0,0,0,0,0,0,10,35,60,60,60,63,0
61,60,60,60,33,0,0,0,0,10,31,60,60,37,9,0,0,0,0,0,0,0,10,31,60,60,60,42,46,0
61,60,60,60,63,0,0,0,10,31,60,60,60,60,37,27,0,0,0,0,0,10,31,60,60,60,42,52,0,0
61,60,60,60,24,0,0,54,35,60,60,60,60,60,60,32,44,0,0,0,10,31,60,60,60,42,52,0,0,0
61,60,60,60,32,9,0,61,60,60,60,7,8,60,60,60,63,0,0,10,31,60,60,60,42,52,0,0,0,0
61,60,60,60,60,32,9,25,60,60,60,33,36,60,60,60,63,0,10,31,60,60,60,42,52,0,0,0,0,0
45,26,60,60,60,60,32,35,60,60,60,63,61,60,60,60,65,49,31,60,60,60,42,52,0,0,0,0,0,0
0,53,43,60,60,60,60,60,60,60,60,63,61,60,60,60,60,60,60,60,60,42,52,0,0,0,0,0,0,0
0,0,53,43,60,60,60,60,60,60,60,63,61,60,60,60,60,60,60,60,42,52,0,0,0,0,0,0,0,0
0,0,0,53,26,60,60,60,60,60,42,46,45,26,60,60,60,60,60,23,52,0,0,0,0,0,0,0,0,0
0,0,0,0,11,64,64,64,64,64,12,0,0,11,64,64,64,64,64,12,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
